,Christs College Cambridge,Churchill College Cambridge,Clare College Cambridge,Clare Hall Cambridge,Corpus Christi College Cambridge,Darwin College Cambridge,Downing College Cambridge,Emmanuel College Cambridge,Fitzwilliam College Cambridge,Girton College Cambridge,Gonville and Caius College Cambridge,Homerton College Cambridge,Hughes Hall Cambridge,Jesus College Cambridge,Kings College Cambridge,Lucy Cavendish College Cambridge,Magdalene College Cambridge,Murray Edwards College Cambridge,Newnham College Cambridge,Pembroke College Cambridge,Peterhouse Cambridge,Queens College Cambridge,Robinson College Cambridge,Selwyn College Cambridge,Sidney Sussex College Cambridge,St Catharines College Cambridge,St Edmunds College Cambridge,St Johns College Cambridge,Trinity College Great Court Cambridge,Trinity Hall Cambridge,Wolfson College Cambridge
0,52.2053007,52.21253489999999,52.2050655,52.2042665,52.2028667,52.2005703,52.2011668,52.2035986,52.2143082,52.2283846,52.2056814,52.1854027,52.20088,52.2094752,52.2043356,52.21098689999999,52.21075219999999,52.2142184,52.19968799999999,52.2017274,52.1998472,52.2025747,52.2044132,52.2010511,52.20743340000001,52.2028778,52.2127531,52.2078045,52.2068427,52.2057386,52.1982458
1,0.1219539,0.1040989,0.1151955,0.1043751,0.117875,0.1135917,0.1245783,0.1237007,0.1048307,0.08362359999999999,0.1178158,0.1351898,0.1317527,0.1238309,0.117285,0.1106472,0.1161454,0.1086459,0.107853,0.1183207,0.1188507,0.1150123,0.1056739,0.1056297,0.1207903,0.1174715,0.1087819,0.117813,0.1167531,0.1151331,0.100967
